第一級

a/an art.
dress n./v.

drink v./n.

drive v./n.

driver n.

drop v./n.

drum n./v.

dry adj./v.

duck n./v.

during prep.

each pron./adj./adv.

ear n.

early adj./adv.

earth n.

east n./adj./adv.

easy adj.

eat v.

egg n.

either adv./pron./adj./conj.

elephant n.

else adv.

email n./v.

end n./v.

engineer n.

enjoy(ment) v./(n.)

enough adv./adj./n.

enter v.

envelope n.

eraser n.

error n.

even adv./adj./v.

evening n.

ever adv.

every adj.

everyone/everybody pron.

everything pron.

example n.

excellent adj.

except prep./conj.

excited adj.

exciting adj.

exercise n./v.

expect v.

expensive adj.

experience n./v.

explain v.

eye n.

face n./v.

fact n.

factory n.

fail v./n.

fall n./v.

family n.

famous adj.

fan n./v.

far adv./adj.

farm n./v.

farmer n.

fast adv./adj.

fat n./adj.

father n.

feed v./n.

feel v./n.

festival n.

few adj./pron.

fight v./n.

file n./v.

fill v./n.

finally adv.

find v./n.

fine adj./adv./v./n.

finger n./v.

finish v./n.

fire n./v.

first n./adv./adj.

fish n./v.

floor n./v.

flower n./v.

fly v./n.

follow v.

food n.

fool n./v.

foot n./v.

for prep./conj.

foreign adj.

foreigner n.

forget v.

fork n.

free adj./v./adv.

fresh adj.

friend n.

friendly adj.

frog n.

from prep.

front adj./n.

fruit n.

full adj.

fun n.

funny adj.

future n./adj.

game n.

garden n./v.

gate n.

get v.

ghost n.

giant adj./n.

gift n.

girl n.

give v.

glad adj.

glass n.

glasses n.

glove(s) n.

go v./n.

god/goddess n.

good adj./adv./n.

goodbye n.

grade n./v.

grandfather n.

grandmother n.

grass n.

gray adj./n./v.

great adj./n.

green adj./n./v.

ground n./v.

group n./v.

grow v.

guess v./n.

guitar n.

guy n.

habit n.

hair n.

half n./adv./adj.

ham n.

hand n./v.

hang v.

happen v.

happy adj.

hard adj./adv.

hat n.

hate v./n.

have aux./v.

he (him, his, himself) pron.

head n./v.

headache n.

health n.

healthy adj.

hear v.

heart n.

heat n./v.

heavy adj.

height n.

hello n.

help v./n.

helpful adj.

hen n.

here adv./n.

hide v.

high adj./adv./n.

hill n.

history n.

hit v./n.

hobby n.

hold v./n.

holiday n.

home n./adv./v./adj.

homework n.

honest adj.

honey n.

hope v./n.

horse n.

hospital n.

hot adj.

hotel n.

hour n.

house n./v.

housewife n.

how adv.

however adv.

hundred n./adj.

hungry adj.

hurt v./n.

husband n.

I (me, my, mine, myself) pron.

ice n.

idea n.

if conj.

important adj.

in prep./adv./adj.

inch n.

insect n.

inside prep./adv./n./adj.

interest n./v.

interested adj.

interesting adj.

interview n./v.

into prep.

invite v.

island n.

it (its, itself) pron.

item n.

jacket n.

jeans n.

job n.

join v./n.

joke n./v.

joy n.

juice n.

jump v./n.

just adv./adj.

keep v./n.

key adj./n./v.

kick v./n.

kid n./v.

kill v./n.

kind adj./n.

king n.

kiss n./v.

kitchen n.

kite n.

knee n./v.

knife n./v.

knock v./n.

know v.

knowledge n.

lake n.

lamp n.

land n./v.

language n.

large adj.

last n./v./adv./adj.

late adj./adv.

later adv.

laugh v./n.

lawyer n.

lazy adj.

lead v./n.

leader n.

learn v.

least adv./pron./adj.

leave v./n.

left adj./n./adv.

leg n.

lemon n.

less pron./adv./adj./prep.

lesson n.

let v.

letter n.

level n./adj.

library n.

lie v./n.

life n.

light n./adj./v./adv.

like prep./v./n.

line n./v.

lion n.

lip n.

list n./v.

listen v.

little adj./adv./n.

live v./adj.

lonely adj.

long adj./adv./v.

look v./n.

lose v.

lot n.

loud adv./adj.

love n./v.

lovely adj.

low adj./adv./n.

lucky adj.

lunch n./v.

machine n./v.

mad adj.

magic adj./n.

mail n./v.

main adj./n.

make v.

man n./v.

many adj./pron.

map n./v.

mark n./v.

market n./v.

married adj.

mathematics/math n.

matter n./v.

may aux.

maybe adv.

meal n.

mean v./adj.

meat n.

media n.

medicine n.

medium adj.

meet v.

meeting n.

member n.

menu n.

middle adj./n.

milk n.

million n.

mind n./v.

mine n./v.

minute n.

miss v./n.

mistake n./v.

modern adj.

moment n.

money n.

monkey n.

month n.

moon n.

more adj./pron./adv.

morning n.

most adv./pron./adj.

mother n.

mountain n.

mouse n.

mouth n./v.

move(ment) v./(n.)

movie/film n.

Mr./Mister n.

Mrs. n.

Ms. n.

much adj./pron./adv.

mud n.

museum n.

music n.

must aux./n.

name n./v.

national adj.

nature n.

near prep./adj./adv./v.

neck n.

need v./n./aux.

net n./v.

never adv.

new adj.

news n.

newspaper n.

next adj./adv.

nice adj.

night n.

no/nope adj./adv./n.

nobody pron./n.

noise n.

noisy adj.

noon n.

north n./adj./adv.

nose n.

not adv.

note n./v.

nothing pron./n.

notice v./n.

now adv./n.

number n./v.

nurse n./v.

O.K./OK/okay adj./adv./n./v.

o'clock adv.

of prep.

off adv./prep./adj.

office n.

officer n.

often adv.

oil n./v.

old adj.

on prep./adv.

once adv./conj./n.

online adj.

only adv./adj./conj.

open adj./v.

or conj.

orange adj./n.

order n./v.

other adj./pron.

out adv./prep./adj./n./v.

outside prep./adv./adj./n.

over prep./adv.

own adj./pron./v.

pack n./v.

package n.

page n.

paint n./v.

pair n.

pants n.

paper n./v.

parent(s) n.

park n./v.

part n./v.

party n./v.

pass v./n.

past adj./n./prep./adv.

pay(ment) v./(n.)

pen n./v.

pencil n.

people n./v.

perhaps adv.

person n.

pet n./v.

photograph/photo n./v.

piano n.

pick v./n.

picnic n./v.

picture n./v.

pie n.

piece n./v.

pig n./v.

pin n./v.

pink adj./n.

pipe n./v.

place n./v.

plan n./v.

planet n.

plant n./v.

plate n.

play v./n.

player n.

please v.

pleasure n.

pm/p.m. adv.

pocket n./v.

point n./v.

police n./v.

polite adj.

pond n.

pool n./v.

poor adj.

popcorn n.

popular adj.

possible adj.

pot n./v.

potato n.

power n./v.

practice n./v.

prepare v.

present adj./n./v.

pretty adv./adj.

price n./v.

probably adv.

problem n.

program n./v.

proud adj.

public adj./n.

pull v./n.

push v./n.

put v.

quarter n.

queen n.

question n./v.

quick adj./adv.

quiet adj./n./v.

quite adv.

rabbit n.

race n./v.

radio n./v.

rain n./v.

rainbow n.

rainy adj.

raise v./n.

reach v./n.

read v.

ready adj./v.

real adj.

really adv.

reason n./v.

red adj./n.

relative adj./n.

remember v.

repeat v.

report n./v.

reporter n.

rest n./v.

restaurant n.

rice n.

rich adj.

ride n./v.

right adv./adj./n.

ring n./v.

rise n./v.

river n.

road n.

robot n.

rock n./v.

roll v./n.

room n./v.

root n.

rope n.

rose n.

round adj./n./adv./prep./v.

row n./v.

rule n./v.

ruler n.

run v.

sad adj.

safe adj./n.

salad n.

sale n.

salt n./v./adj.

same adj./pron./adv.

save v.

say v.

school n./v.

science n.

sea n.

season n.

seat n./v.

second adj./n./adv.

secretary n.

see v.

seed n.

sell v.

send v.

sentence n./v.

serious adj.

service n.

set v./n.

several adj./pron.

shake v./n.

shall aux.

shape n.

share v./n.

sharp adj./adv.

she (her, hers, herself) pron.

sheep n.

ship n./v.

shirt n.

shoe(s) n.

shop n./v.

short adj.

shorts n.

shoulder n.

shout v./n.

show v./n.

shower n./v.

sick adj.

side n.

sight n./v.

sign n./v.

simple adj.

since conj./prep./adv.

sing v.

singer n.

sir n.

sister n.

sit v.

size n./v.

skirt n.

sky n.

sleep n./v.

slim adj.

slow adj./v./adv.

small adj./n./adv.

smart adj.

smell n./v.

smile n./v.

smoke n./v.

snake n./v.

snow n./v.

so adv./conj.

sofa n.

soldier n.

some adj./pron.

someone/somebody pron./n.

something pron./n.

sometimes adv.

somewhere adv.

son n.

song n.

soon adv.

sore adj./n.

sorry adj.

sound n.

soup n.

south n./adj./adv.

space n./v.

speak v.

special adj.

spell v.

spend v.

spring n./v.

square n./adj.

stair n.

stand v./n.

star n./v.

start v./n.

station n.

stay v./n.

still adv./adj.

stop v./n.

store n./v.

story n.

straight adv./adj./n.

strange adj.

street n.

string n.

strong adj.

student n.

study n./v.

stupid adj.

subject n.

successful adj.

sugar n.

sun n./v.

sunny adj.

supermarket n.

sure adj./adv.

surprise n./v.

surprised adj.

sweet adj.

table n.

tail n.

take v.

talk v./n.

tall adj.

tape n.

taste n./v.

taxicab/taxi/cab n.

tea n.

teach v.

teacher n.

team n./v.

teenager n.

telephone/phone n./v.

television/TV n.

tell v.

temple n.

tennis n.

terrible adj.

test n./v.

than conj./prep.

thank v./n.

that conj./pron./adv./adj.

the art.

theater n.

then adv./adj.

there adv./n.

these pron./adj.

they (them, their, theirs, themselves) pron.

thick adj.

thin adj.

thing n.

think v.

third adj./n./adv.

this pron./adv./adj.

those pron./adj.

though conj./adv.

thousand n./adj.

throat n.

through prep./adv.

throw v./n.

ticket n.

tidy adj./v.

tie n./v.

tiger n.

time n./v.

tip n./v.

tired adj.

to prep.

today adv./n.

toe n.

together adv.

toilet n.

tomato n.

tomorrow adv./n.

tonight adv./n.

too adv.

tool n.

tooth n.

top n./adj./v.

topic n.

total adj./n./v.

touch n./v.

towel n./v.

town n.

toy n.

traffic n./v.

train n./v.

treat(ment) v./(n.)

tree n.

trip n./v.

trouble n./v.

truck n.

try v./n.

T-shirt n.

turn v./n.

twice adv.

type n./v.

uncle n.

under prep./adv.

understand v.

uniform n.

until conj./prep.

up adv./prep./adj./v./n.

use v./n.

useful adj.

usually adv.

vegetable n.

very adv.

video n./v./adj.

violin n.

visit v./n.

visitor n.

voice n.

wait v./n.

wake v.

walk v./n.

wall n.

want v./n.

warm adj./v.

watch v./n.

water n./v.

wave n./v.

way n.

we (us, our, ours, ourselves) pron.

weak adj.

wear v.

weather n./v.

week n.

weekend n./v.

welcome v./adj./n.

well adv./adj./n.

west n./adj./adv.

wet adj./v.

what pron./adj.

when adv./conj./pron.

where conj./adv./pron./n.

whether conj.

which pron./adj.

while conj./n./v.

white adj./n.

who pron.

whose pron.

why adv./n.

wide adj./adv.

wife n.

will aux./n.

win v./n.

wind n./v.

window n.

wise adj.

wish v./n.

with prep.

without prep./adv.

woman n.

wonderful adj.

word n.

work n./v.

worker n.

world n.

worry v./n.

write v.

writer n.

wrong adj./adv./n./v.

yard n.

year n.

yellow adj./n./v.

yes/yeah adv./n.

yesterday adv./n.

yet adv./conj.

you (your, yours, yourself, yourselves) pron.

young adj./n.

zero n.

zoo n.

